stack_name,keyword
Java,java
Spring Boot,spring boot
Spring Boot,springboot
Spring Boot,스프링부트
Python,python
JavaScript,javascript
TypeScript,typescript
React,react
React,react.js
React,reactjs
Vue,vue
Vue,vue.js
Node.js,node.js
Node.js,nodejs
SQL,sql
Oracle,oracle
MySQL,mysql
PostgreSQL,postgresql
MongoDB,mongodb
AWS,aws
Docker,docker
Kubernetes,kubernetes
Kubernetes,k8s
Git,git
Kotlin,kotlin
Kotlin,코틀린
Go,golang
Go,go
C#,c#
C#,csharp
C#,씨샵
.NET,.net
.NET,dotnet
.NET,asp.net
.NET,닷넷
Spring,spring
Spring,스프링
Spring,spring framework
Spring,spring mvc
Django,django
Django,장고
FastAPI,fastapi
FastAPI,fast api
Flask,flask
Flask,플라스크
Redis,redis
Redis,레디스
Kafka,kafka
Kafka,카프카
Elasticsearch,elasticsearch
Elasticsearch,elastic search
Elasticsearch,엘라스틱서치
GraphQL,graphql
Next.js,next.js
Next.js,nextjs
Next.js,넥스트
Flutter,flutter
Flutter,플러터
Angular,angular
Nest.js,nest.js
Nest.js,nestjs
Express,express
Express,express.js
Express,expressjs
C++,c++
C++,cpp
Swift,swift
Swift,스위프트
PHP,php
Spark,spark
Spark,스파크
Hadoop,hadoop
Hadoop,하둡
TensorFlow,tensorflow
TensorFlow,텐서플로우
PyTorch,pytorch
PyTorch,파이토치
GCP,gcp
GCP,google cloud
Azure,azure
Terraform,terraform
Jenkins,jenkins
